	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
age	100,402	46.95	11.84	23	76
wage03	83,024	64,163	36,370	0	150,000
wage06	42,854	75,966	37,782	0	150,000
wage08	36,912	83,123	39,662	0	150,000
wage10	17,260	83,767	41,735	0	150,000
age2	100,402	2,344	1,162	529	5,776
male	100,402	0.570	0.495	0	1
mar	100,402	0.746	0.435	0	1
tenure	83,024	8.377	8.641	0	60
newbus	83,024	0.0678	0.251	0	1
workexp	100,402	18.32	11.81	0	58
waacc	83,024	0.307	0.461	0	1
waaprsh	83,024	0.299	0.458	0	1
wabrsh	83,024	0.207	0.405	0	1
wacom	83,024	0.366	0.482	0	1
wadev	83,024	0.294	0.456	0	1
wadsn	83,024	0.259	0.438	0	1
waemrl	83,024	0.343	0.475	0	1
wamgmt	83,024	0.585	0.493	0	1
waot	83,024	0.0656	0.248	0	1
waprod	83,024	0.149	0.356	0	1
waqm	83,024	0.241	0.428	0	1
wasale	83,024	0.311	0.463	0	1
wasvc	83,024	0.303	0.460	0	1
watea	83,024	0.324	0.468	0	1
wan	83,024	4.054	2.348	1	14
cmrcn	83,024	2.239	1.666	0	7
resn	83,024	1.426	1.437	0	5
lnwage03	83,024	10.77	1.268	0	11.92
lnwage06	42,854	11.02	1.000	0	11.92
lnwage08	36,912	11.11	1.041	0	11.92
lnwage10	17,260	11.06	1.238	0	11.92
dlnwage	41,893	0.0346	0.269	-3.973	3.973
					
