
                                                                      Variable |        N     Mean       SD      Min      Max                                                                                                                              
-------------------------------------------------------------------------------+---------------------------------------------
                                                                 Employer_Type |    55330     3.00     0.00     3.00     3.00  
                                                        Large Established (%)  |    55330   100.00
                                                                     2003_wage |    55330 65506.63 33180.87     0.00 1.50e+05  
                                                                     2006_wage |    27818 77628.62 34312.93     0.00 1.50e+05  
                                                                     2008_wage |    23842 85545.72 36606.57     0.00 1.50e+05  
                                                                     2010_wage |    10892 87745.23 38795.48     0.00 1.50e+05  
                                                                 log_2003_wage |    55330    10.88     0.99     0.00    11.92  
                                                                 log_2006_wage |    27818    11.11     0.74     0.00    11.92  
                                                                 log_2008_wage |    23842    11.20     0.83     0.00    11.92  
                                                                 log_2010_wage |    10892    11.18     1.04     0.00    11.92  
                                                        yearly_growth_log_wage |    28452     0.03     0.22    -3.97     3.91  
                                                                           Age |    55330    44.74    10.28    24.00    76.00  
                                                                          Age² |    55330  2106.96   949.53   576.00  5776.00  
                                                                       workexp |    55330    15.89    10.26     0.00    55.00  
                                                                          Male |    55330     0.58     0.49     0.00     1.00  
                                                                        0 (%)  |    23469    42.42
                                                                        1 (%)  |    31861    57.58
                                                                          Race |    55330     3.58     1.05     1.00     6.00  
                                                                    Asian (%)  |     6614    11.95
                                            American Indian/Alaska Native (%)  |      342     0.62
                                                                    Black (%)  |     4854     8.77
                                                                    White (%)  |    42237    76.34
                                   Native Hawaiian/Other Pacific Islander (%)  |      220     0.40
                                                                 Multiple (%)  |     1063     1.92
                                                                       Married |    55330     0.74     0.44     0.00     1.00  
                                                                        0 (%)  |    14493    26.19
                                                                        1 (%)  |    40837    73.81
                                                                Highest_degree |    55330     1.69     0.84     1.00     4.00  
                                                               Bachelor's (%)  |    28270    51.09
                                                                 Master's (%)  |    18370    33.20
                                                                Doctorate (%)  |     6104    11.03
                                                             Professional (%)  |     2586     4.67
                                                                   Major_Field |    55330     5.31     1.98     1.00     7.00  
                                       Computer and mathematical sciences (%)  |     4478     8.09
                                                Life and related sciences (%)  |     3530     6.38
                                            Physical and related sciences (%)  |     2357     4.26
                                              Social and related sciences (%)  |     5176     9.35
                                                              Engineering (%)  |     8649    15.63
                                                   S and E-Related Fields (%)  |     6751    12.20
                                                       Non-S and E Fields (%)  |    24389    44.08
                                                       Carnegie_Classification |    49596    17.88    10.03    11.00    60.00  
                                                    Research University I (%)  |    17207    34.69
                                                   Research University II (%)  |     4428     8.93
                                                     Doctorate Granting I (%)  |     3997     8.06
                                                    Doctorate Granting II (%)  |     3506     7.07
                                                          Comprehensive I (%)  |    13889    28.00
                                                         Comprehensive II (%)  |      856     1.73
                                                           Liberal Arts I (%)  |     1034     2.08
                                                          Liberal Arts II (%)  |     2389     4.82
                                                    Two-year institutions (%)  |      122     0.25
                                   Theological seminaries, bible colleges (%)  |      170     0.34
                                      Medical schools and medical centers (%)  |      643     1.30
                               Other separate health professional schools (%)  |       91     0.18
