
                                                                      Variable |        N     Mean       SD      Min      Max                                                                                                                              
-------------------------------------------------------------------------------+---------------------------------------------
                                                                 Employer_Type |     1741     1.00     0.00     1.00     1.00  
                                                                  Startup (%)  |     1741   100.00
                                                                     2003_wage |     1741 66145.32 41689.80     0.00 1.50e+05  
                                                                     2006_wage |      850 81489.41 40977.66     0.00 1.50e+05  
                                                                     2008_wage |      710 91583.10 41077.63     0.00 1.50e+05  
                                                                     2010_wage |      358 93483.24 39535.23     0.00 1.50e+05  
                                                                 log_2003_wage |     1741    10.65     1.69     0.00    11.92  
                                                                 log_2006_wage |      850    11.00     1.41     0.00    11.92  
                                                                 log_2008_wage |      710    11.21     1.08     0.00    11.92  
                                                                 log_2010_wage |      358    11.22     1.22     0.00    11.92  
                                                        yearly_growth_log_wage |      879     0.04     0.39    -3.84     3.62  
                                                                           Age |     1741    42.14    10.15    26.00    75.00  
                                                                          Age² |     1741  1878.87   924.24   676.00  5625.00  
                                                                       workexp |     1741    14.95    10.04     0.00    52.00  
                                                                          Male |     1741     0.66     0.47     0.00     1.00  
                                                                        0 (%)  |      585    33.60
                                                                        1 (%)  |     1156    66.40
                                                                          Race |     1741     3.38     1.26     1.00     6.00  
                                                                    Asian (%)  |      346    19.87
                                            American Indian/Alaska Native (%)  |       13     0.75
                                                                    Black (%)  |       99     5.69
                                                                    White (%)  |     1238    71.11
                                   Native Hawaiian/Other Pacific Islander (%)  |       10     0.57
                                                                 Multiple (%)  |       35     2.01
                                                                       Married |     1741     0.72     0.45     0.00     1.00  
                                                                        0 (%)  |      484    27.80
                                                                        1 (%)  |     1257    72.20
                                                                Highest_degree |     1741     1.63     0.87     1.00     4.00  
                                                               Bachelor's (%)  |      986    56.63
                                                                 Master's (%)  |      512    29.41
                                                                Doctorate (%)  |      140     8.04
                                                             Professional (%)  |      103     5.92
                                                                   Major_Field |     1741     5.17     2.06     1.00     7.00  
                                       Computer and mathematical sciences (%)  |      187    10.74
                                                Life and related sciences (%)  |       93     5.34
                                            Physical and related sciences (%)  |       86     4.94
                                              Social and related sciences (%)  |      145     8.33
                                                              Engineering (%)  |      320    18.38
                                                   S and E-Related Fields (%)  |      179    10.28
                                                       Non-S and E Fields (%)  |      731    41.99
                                                       Carnegie_Classification |     1465    18.02    11.18    11.00    59.00  
                                                    Research University I (%)  |      578    39.45
                                                   Research University II (%)  |      133     9.08
                                                     Doctorate Granting I (%)  |      104     7.10
                                                    Doctorate Granting II (%)  |       99     6.76
                                                          Comprehensive I (%)  |      334    22.80
                                                         Comprehensive II (%)  |       27     1.84
                                                           Liberal Arts I (%)  |       36     2.46
